0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1994,0.4256,0.3052,0.3848,0.6017,0.0496,-68.0000
0.3987,0.3810,0.6047,0.9469,0.4207,0.1057,-29.0000
0.7942,0.8037,0.7995,0.6163,0.3589,0.4658,-106.0000
0.9674,0.8685,0.9562,0.4798,0.4061,0.8708,72.0000
0.4566,0.6204,0.5109,0.2782,0.0346,0.0793,2029.0000
0.6213,0.6543,0.6904,0.7225,0.3903,0.2742,-589.0000
0.7930,0.6505,0.5970,0.6559,0.3932,0.2687,18.0000
0.6156,0.2289,0.6996,0.8535,0.3897,0.3497,-2345.0000
0.1994,0.4256,0.3052,0.3848,0.6017,0.0496,4.1600
0.3987,0.3810,0.6047,0.9469,0.4207,0.1057,-51.3200
0.7942,0.8037,0.7995,0.6163,0.3589,0.4658,-132.3200
0.9674,0.8685,0.9562,0.4798,0.4061,0.8708,268.2800
0.4566,0.6204,0.5109,0.2782,0.0346,0.0793,492.5600
0.3221,0.8038,0.4200,0.6409,0.3589,0.4658,251.6600
0.6880,0.7763,0.7995,0.6163,0.3589,0.4389,-60.6600
0.8392,0.7611,0.7995,0.6163,0.3589,0.3211,456.1200
0.9391,0.0877,0.7995,0.6163,0.3589,0.4610,-3113.6400
0.9509,0.0872,0.7998,0.5962,0.5906,0.4614,-3423.6800
0.9507,0.0852,0.8015,0.6019,0.5090,0.4638,-3980.7800
0.9592,0.0813,0.8047,0.5973,0.5339,0.4684,-2915.2400
